Plot,Height1,Height2,Height3,Height4,Height5
MB21:1048,211,206,196,212,214
MB21:1043,216,228,230,227,230
MB21:1037,218,215,229,215,223
MB21:1031,222,215,223,236,231
MB21:1025,222,220,214,206,218
ERA21:2011,253,238,243,247,232
ERA21:2009,238,253,244,242,244
ERA21:2006,211,220,252,250,246
ERA21:2003,223,229,250,227,231
ERA21:1013,222,224,236,235,227
YC21:1097,153,167,156,258,164
YC21:1108,147,151,157,158,159
YC21:1120,151,156,165,164,161
YC21:1132,148,158,159,153,154
YC21:1144,150,153,165,159,160
YC21:2057,127,114,113,141,121
YC21:2068,159,156,156,156,153
YC21:2080,155,150,158,170,161
YC21:2092,163,159,145,150,155
YC21:2104,151,159,159,153,164
YC21:2440,152,171,144,153,162
YC21:2429,139,135,143,146,146
YC21:2417,119,118,128,126,128
YC21:2405,140,158,149,156,149
YC21:2393,162,150,167,147,164